Segunda-feira,Dias
2020-12-28,15.140845070422536
2021-01-04,13.343776292686984
2021-01-11,12.943432719507612
2021-01-18,13.009688744947653
2021-01-25,12.605600303220276
2021-02-01,12.900923726570397
2021-02-08,12.78885139760243
2021-02-15,12.601989518600336
2021-02-22,12.6714251263509
2021-03-01,12.782137091422038
2021-03-08,12.465350629536916
2021-03-15,12.506674480786428
2021-03-22,12.270653660899482
2021-03-29,12.269672805204872
2021-04-05,12.294252107782471
2021-04-12,12.349215707361013
2021-04-19,12.528200051834068
2021-04-26,12.52031357858775
2021-05-03,12.483544817153211
2021-05-10,12.129214883153606
2021-05-17,12.115856937757016
2021-05-24,12.08330926150704
2021-05-31,11.795011663253792
2021-06-07,11.7683681790044
2021-06-14,11.721967520112202
2021-06-21,11.763652587018672
2021-06-28,11.717197806775674
2021-07-05,11.758287224220695
2021-07-12,11.634461610967648
2021-07-19,11.669062680467686
2021-07-26,12.113305828078751
2021-08-02,12.003763908108613
2021-08-09,11.880957965724562
2021-08-16,12.241075913622604
2021-08-23,12.178056631750177
2021-08-30,12.373189070925234
2021-09-06,12.143689660071573
2021-09-13,12.453927717682022
2021-09-20,12.033717013207823
2021-09-27,12.300221249795978
2021-10-04,12.255791800720635
2021-10-11,12.210724731357145
2021-10-18,11.720168259485746
2021-10-25,11.650740148016444
2021-11-01,11.43195352074572
2021-11-08,11.219191706153058
2021-11-15,11.067518591596128
2021-11-22,11.37133544602836
2021-11-29,10.976872894756331
2021-12-06,10.52751260698908
2021-12-13,10.017431727697215
2021-12-20,10.205824350757613
2021-12-27,11.038718592573675
2022-01-03,11.26625430719044
2022-01-10,11.765500106121701
2022-01-17,11.997048845050907
2022-01-24,11.859570570920152
2022-01-31,12.056033990350873
2022-02-07,12.089938056144533
2022-02-14,11.786303902939421
2022-02-21,11.689068235998679
2022-02-28,11.191035854007295
2022-03-07,11.053022998796532
2022-03-14,10.88203742416113
2022-03-21,10.857736830076835
2022-03-28,10.864210732070406
2022-04-04,10.798321683519264
2022-04-11,10.589215788466413
2022-04-18,10.410844345087991
2022-04-25,10.790225431401572
2022-05-02,10.85526805006096
2022-05-09,10.963396430890857
2022-05-16,11.0236036744549
2022-05-23,11.09881583416268
2022-05-30,10.923393143524818
2022-06-06,11.556181805321602
2022-06-13,11.204117199102344
2022-06-20,11.469240873645541
2022-06-27,11.765973170926726
2022-07-04,10.887315214784964
2022-07-11,11.253897289732729
2022-07-18,11.32131998083837
2022-07-25,11.306160220472751
2022-08-01,11.078347841087169
2022-08-08,10.537984174142082
2022-08-15,10.797887936027454
2022-08-22,11.009676290130418
2022-08-29,11.094831250906195
2022-09-05,10.467268597542821
2022-09-12,10.586011890294328
2022-09-19,10.610833115881125
2022-09-26,9.906258735016209
2022-10-03,10.564761991794684
2022-10-10,10.4276635491161
2022-10-17,10.265880628729857
2022-10-24,10.538719174431195
2022-10-31,10.68664288492549
2022-11-07,10.99345181686662
2022-11-14,10.568945344458879
2022-11-21,10.98568149724149
2022-11-28,10.571945070533792
2022-12-05,10.100624499849093
2022-12-12,9.964834249318155
2022-12-19,9.806846022815852
2022-12-26,9.882397300926124
2023-01-02,10.58861983289202
2023-01-09,10.534313531094435
2023-01-16,10.096155030629832
2023-01-23,9.721540494288776
2023-01-30,9.754238843877616
2023-02-06,8.466775410041224
2023-02-13,7.888777127784692
2023-02-20,7.843874892640079
2023-02-27,7.2698833079178105
2023-03-06,6.695171608848791
2023-03-13,6.284804838286407
2023-03-20,5.717276527095533
2023-03-27,5.884900407436964
