Segunda-feira,Dias
2020-12-28,15.08
2021-01-04,11.027833740065615
2021-01-11,12.467531255314922
2021-01-18,12.454993733090209
2021-01-25,12.23740320138232
2021-02-01,12.140282409484445
2021-02-08,12.23571831254496
2021-02-15,12.477458350389785
2021-02-22,12.350755785456363
2021-03-01,12.70189705884698
2021-03-08,15.705164430805763
2021-03-15,12.471624397128389
2021-03-22,12.575799291937575
2021-03-29,12.6615297983433
2021-04-05,12.502522228380672
2021-04-12,12.79669916036512
2021-04-19,12.847073672668033
2021-04-26,12.970257668067287
2021-05-03,13.313664956152579
2021-05-10,13.072223383944982
2021-05-17,13.011573429636353
2021-05-24,13.09570888640191
2021-05-31,12.86934114017123
2021-06-07,13.06642970218569
2021-06-14,13.06812333019831
2021-06-21,13.244805721504486
2021-06-28,13.054951024044428
2021-07-05,12.934569668150711
2021-07-12,12.817959031764543
2021-07-19,12.781836466793498
2021-07-26,13.061397599411562
2021-08-02,12.641733734035512
2021-08-09,12.618894216000667
2021-08-16,12.627027578821968
2021-08-23,12.47823827559291
2021-08-30,12.59425069677319
2021-09-06,12.612540793625499
2021-09-13,13.233921050041983
2021-09-20,13.177159185494437
2021-09-27,13.11037157462017
2021-10-04,12.94163291929423
2021-10-11,12.515636921266443
2021-10-18,12.748851349706241
2021-10-25,12.306057948016825
2021-11-01,12.345374327557503
2021-11-08,11.482029369194679
2021-11-15,12.397732635180006
2021-11-22,11.657257736430164
2021-11-29,11.83329272707304
2021-12-06,11.285720545869074
2021-12-13,10.572516819318649
2021-12-20,10.849475032899148
2021-12-27,10.858570397409599
2022-01-03,11.782593224329844
2022-01-10,11.81784778542555
2022-01-17,11.605521332335664
2022-01-24,11.53028476984946
2022-01-31,12.184537859918763
2022-02-07,11.958363889962417
2022-02-14,11.405044607558636
2022-02-21,11.834031467294745
2022-02-28,11.419442225222367
2022-03-07,11.974264686263853
2022-03-14,12.4170068573993
2022-03-21,10.91812407119346
2022-03-28,11.13717950490147
2022-04-04,11.65871286866284
2022-04-11,12.008624606835394
2022-04-18,11.015316192750216
2022-04-25,11.783519784305778
2022-05-02,11.711064011081914
2022-05-09,11.609471830622159
2022-05-16,10.88438353483778
2022-05-23,11.271815372133688
2022-05-30,11.037610578985314
2022-06-06,11.303874347849519
2022-06-13,11.524971685885552
2022-06-20,11.354740516569148
2022-06-27,11.388610787534443
2022-07-04,11.08531017885781
2022-07-11,11.131692276311856
2022-07-18,11.587232736751558
2022-07-25,11.797100606897157
2022-08-01,11.78397294168673
2022-08-08,11.071757461098356
2022-08-15,11.784333995045808
2022-08-22,12.46403368819126
2022-08-29,12.69417232077045
2022-09-05,11.896924178074302
2022-09-12,12.600880272122266
2022-09-19,11.899758603199832
2022-09-26,11.187474126695628
2022-10-03,11.094616733263766
2022-10-10,10.563569866133635
2022-10-17,10.67930764399303
2022-10-24,10.400705822751847
2022-10-31,10.886201276834074
2022-11-07,10.793598601753393
2022-11-14,10.82587108190285
2022-11-21,10.81123109729771
2022-11-28,10.192458508317555
2022-12-05,10.523518638979311
2022-12-12,9.910029747176708
2022-12-19,10.530794508389848
2022-12-26,9.97124430505633
2023-01-02,10.19335349798157
2023-01-09,9.747442803318162
2023-01-16,9.271646532540341
2023-01-23,9.08066124354049
2023-01-30,9.365126849924167
2023-02-06,8.669750802986467
2023-02-13,8.938679887202333
2023-02-20,9.515638032204501
2023-02-27,7.339439490691579
2023-03-06,6.873259542249441
2023-03-13,6.077831362154508
2023-03-20,5.881743947764122
2023-03-27,5.496003700790935
2023-04-03,231.0909090909091
2023-04-10,14.5
