Segunda-feira,Evolucao,Quantidade
2022-07-04,3,362
2022-07-11,1,7032
2022-07-11,2,1652
2022-07-11,3,275
2022-07-18,1,5775
2022-07-18,2,1321
2022-07-18,3,242
2022-07-25,1,4608
2022-07-25,2,950
2022-07-25,3,213
2022-08-01,1,4970
2022-08-01,2,952
2022-08-01,3,205
2022-08-08,1,4613
2022-08-08,2,730
2022-08-08,3,204
2022-08-15,1,4510
2022-08-15,2,659
2022-08-15,3,183
2022-08-22,1,4000
2022-08-22,2,612
2022-08-22,3,183
2022-08-29,1,3710
2022-08-29,2,512
2022-08-29,3,141
2022-09-05,1,3638
2022-09-05,2,486
2022-09-05,3,167
2022-09-12,1,3301
2022-09-12,2,410
2022-09-12,3,166
2022-09-19,1,3305
2022-09-19,2,385
2022-09-19,3,126
2022-09-26,1,3306
2022-09-26,2,391
2022-09-26,3,147
2022-10-03,1,3115
2022-10-03,2,345
2022-10-03,3,109
2022-10-10,1,3258
2022-10-10,2,349
2022-10-10,3,162
2022-10-17,1,3269
2022-10-17,2,306
2022-10-17,3,132
2022-10-24,1,3060
2022-10-24,2,341
2022-10-24,3,139
2022-10-31,1,3692
2022-10-31,2,531
2022-10-31,3,135
2022-11-07,1,5208
2022-11-07,2,902
2022-11-07,3,167
2022-11-14,1,6249
2022-11-14,2,1149
2022-11-14,3,251
2022-11-21,1,5944
2022-11-21,2,1189
2022-11-21,3,249
2022-11-28,1,6156
2022-11-28,2,1287
2022-11-28,3,237
2022-12-05,1,6249
2022-12-05,2,1301
2022-12-05,3,218
2022-12-12,1,5473
2022-12-12,2,1134
2022-12-12,3,231
2022-12-19,1,5003
2022-12-19,2,1006
2022-12-19,3,211
2022-12-26,1,4158
2022-12-26,2,898
2022-12-26,3,196
2023-01-02,1,3297
2023-01-02,2,680
2023-01-02,3,151
2023-01-09,1,2721
2023-01-09,2,518
2023-01-09,3,139
2023-01-16,1,2417
2023-01-16,2,409
2023-01-16,3,128
2023-01-23,1,2264
2023-01-23,2,340
2023-01-23,3,109
2023-01-30,1,2759
2023-01-30,2,360
2023-01-30,3,116
2023-02-06,1,3390
2023-02-06,2,296
2023-02-06,3,102
2023-02-13,1,3631
2023-02-13,2,342
2023-02-13,3,86
2023-02-20,1,3282
2023-02-20,2,353
2023-02-20,3,96
2023-02-27,1,3364
2023-02-27,2,336
2023-02-27,3,100
2023-03-06,1,3137
2023-03-06,2,295
2023-03-06,3,65
2023-03-13,1,2403
2023-03-13,2,219
2023-03-13,3,41
2023-03-20,1,1152
2023-03-20,2,119
2023-03-20,3,21
2023-03-27,1,86
2023-03-27,2,32
2023-03-27,3,1
